Industry Clean,Mapped,count,Industry Ref
Architecture & Planning,true,3,Architecture & Design
Architecture & Planning,true,3,Architecture and Design
Architecture & Planning,true,3,"Architecture, Engineering, Construction"
Architecture & Planning,true,3,Architecture/Engineering
Fine Art,true,3,Arts & Culture
Association Membership,,3,Association Membership
Audiology,,3,Audiology
Audit,,3,Audit
Automotive,true,3,Automation
Benefits Consulting,,3,Benefits Consulting
Biotechnology,true,3,Biological Research
Biotechnology,true,3,Biopharma
Biotechnology,true,3,Biotechnology & Pharmaceuticals
Brewing,,3,Brewing
Business & Technology,,3,Business & Technology
Cable,,3,Cable
Call Centers,,3,Call Centers
Catering,,3,Catering
Catholic Church,,3,Catholic Church
Charity (Non Profit),,3,Charity (Non Profit)
Childcare,,3,Child care
Clergy,,3,Clergy
Computer Software,true,3,Cloud Software
Coatings,,3,Coatings
Banking,true,3,Commercial Banking
Printing,true,3,Commercial Printing
Commercial Property Management,,3,Commercial Property Management
Commodities,,3,Commodities
Community Association Management,,3,Community Association Management
Community Services,,3,Community Services
Computer & Network Security,true,3,Computer Security
Financial Services,true,3,Consulting - Financial Services
Consumer Services,,3,Consumer Services
Contact Center,,3,Contact Center
Corporate,,3,Corporate
Corrections,,3,Corrections
Data,,3,Data
Data Analysis,,3,Data Analysis
Debt Collection,,3,Debt Collection
Fund-Raising,true,3,Development & Fundraising
Digital Agency,,3,Digital Agency
DoD Contracting,,3,DoD Contracting
E-commerce technology,,3,E-commerce technology
Economic Consulting,,3,Economic Consulting
Primary & Secondary Education,true,3,Education / Libraries
Primary & Secondary Education,true,3,Education Management
Primary & Secondary Education,true,3,Education Research
Primary & Secondary Education,true,3,Education Software
Primary & Secondary Education,true,3,Education/Libraries
Publishing,true,3,Education/Publishing
Primary & Secondary Education,true,3,Educational Nonprofit
Electrical Distribution,,3,Electrical Distribution
Manufacturing,true,3,Electrical Manufacturing
Entertainment,true,3,Entertainment Law
Entertainment,true,3,Entertainment media
Environmental Services,true,3,Environmental Consultancy
Graphic Design,true,3,Environmental Graphic Design
Events Services,true,3,Events/Hospitality
Apparel & Fashion,true,3,Fashion and apparel
Apparel & Fashion,true,3,Fashion Retail
